column,dtype,missing,missing_pct,unique
date,datetime64[ns],0,0.0,92
vessel_name,object,0,0.0,337
mmsi,int64,0,0.0,342
flag,object,0,0.0,17
trade_tier,object,0,0.0,3
transit_status,object,0,0.0,3
toll_usd,int64,0,0.0,2
rerouted,object,0,0.0,2
commodity,object,0,0.0,6
destination,object,0,0.0,8
payment_rail,object,0,0.0,4
ship_hull_value_usd,int64,0,0.0,5
insurance_premium_delta_pct,float64,0,0.0,4
insurance_cost_usd,int64,0,0.0,18
days_delayed,int64,0,0.0,2
extra_fuel_tonnes,int64,0,0.0,4
reroute_penalty_usd,int64,0,0.0,5
total_transit_cost_usd,int64,0,0.0,18
naval_escort_status,object,1211,64.07407407407408,3
estimated_cargo_value_usd,int64,0,0.0,5
total_asset_value_at_risk_usd,int64,0,0.0,5
continent,object,0,0.0,6
inflation_premium_per_unit,float64,499,26.402116402116405,12
reroute_flag,int64,0,0.0,2
